Landlord,Bed/Bath,Bed,Bath,CleanAddress,Address,Price,PriceNum,PetsAllowed,Available,Amenities,LLID
Dillaber Properties,4bd/1ba,4,1,520 11th St North La Crosse WI,520 11th St North La Crosse WI,"$1,680 ",1680,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",11
Dillaber Properties,4bd/1ba,4,1,1107 Vine St La Crosse WI,1107 Vine St La Crosse WI,"$1,880 ",1880,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",11
Mickelson Properties,1bd/1ba,1,1,1911 West Ave South La Crosse WI,1911 West Ave South La Crosse WI,$850 ,850,FALSE,TRUE,"Heat, Gas, Elecricity, Trash, Refrigerator, Range/Oven, Microwave",5
Off-Campus La Crosse LLC,4bd/1.5ba,4,1.5,1417 State St La Crosse WI,1417 State St La Crosse WI,"$2,150 ",2150,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",4
Gerrard Properties,2bd/1ba,2,1,1010 Vine St La Crosse WI,1010 Vine St La Crosse WI,"$1,500 ",1500,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",8
Gerrard Properties,4bd/2ba,4,2,1010 Vine St La Crosse WI,1010 Vine St La Crosse WI,"$2,840 ",2840,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",8
DBB Properties,3bd/1ba,3,1,1217 State St La Crosse WI,1217 State St La Crosse WI,"$1,425 ",1425,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Lawn/Snow",31
DBB Properties,4bd/1.5ba,4,1.5,1217 State St La Crosse WI,1217 State St La Crosse WI,"$1,900 ",1900,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Lawn/Snow",31
DBB Properties,2bd/1ba,2,1,1217 State St La Crosse WI,1217 State St-RENTED La Crosse WI,$950 ,950,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Lawn/Snow",31
Hougom Properties,2bd/1ba,2,1,132 11th St South La Crosse WI,132 11th St South La Crosse WI,$650 ,650,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Lawn/Snow",32
Dillaber Properties,3bd/1ba,3,1,321 15th St North La Crosse WI,321 15th St North La Crosse WI,"$1,230 ",1230,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",11
Off-Campus La Crosse LLC,3bd/1ba,3,1,1408 Vine St La Crosse WI,1408 Vine St La Crosse WI,"$1,650 ",1650,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",4
Cappuccio Rentals,2bd/1ba,2,1,"509 11th St N, Up, La Crosse WI","509 11th St N, Up, La Crosse WI","$1,100 ",1100,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",13
G&N Properties,4bd/2ba,4,2,1300 Vine St La Crosse WI,1300 Vine St La Crosse WI,"$1,940 ",1940,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Water & Sewer",33
JAMAR Properties,1bd/1ba,1,1,210 West Ave North La Crosse WI,210 West Ave North La Crosse WI,$905 ,905,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",20
Favre Retnals,5bd/1.5ba,5,1.5,112 17th St South La Crosse WI,112 17th St South La Crosse WI,"$2,600 ",2600,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",16
JCR Properties,3bd/1ba,3,1,627 10th St North La Crosse WI,627 10th St North La Crosse WI,"$1,500 ",1500,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",28
G&N Properties,2bd/1ba,2,1,"1310 State St, Up, La Crosse WI","1310 State St, Up, La Crosse WI",$900 ,900,TRUE,TRUE,"Water, Trash, Refrigerator, Range/Oven",33
G&N Properties,4bd/1ba,4,1,"1308 State St, Down, La Crosse WI","1308 State St, Down, La Crosse WI","$1,964 ",1964,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Heat",33
Baumgartner Properties,5bd/2ba,5,2,702 11th St North La Crosse WI,702 11th St North La Crosse WI,"$2,000 ",2000,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",9
G&N Properties,4bd/1ba,4,1,214 14th St North La Crosse WI,214 14th St North La Crosse WI,"$2,375 ",2375,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",33
G&N Properties,4bd/1ba,4,1,"1915 State St, Down, La Crosse WI","1915 State St, Down, La Crosse WI","$2,000 ",2000,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",33
G&N Properties,2bd/1ba,2,1,"1917 State St, Up, La Crosse WI","1917 State St, Up, La Crosse WI",$920 ,920,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",33
Gander Rentals,5bd/2ba,5,2,1320 Main St La Crosse WI,1320 Main St La Crosse WI,"$2,700 ",2700,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",17
EKIM Properties,3bd/1ba,3,1,222 10th St S La Crosse WI,222 10th St S-RENTED La Crosse WI,"$1,500 ",1500,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",3
RK&D Properties,2bd/1ba,2,1,1116 La Crosse St Up La Crosse WI,1116 La Crosse St Up La Crosse WI,$770 ,770,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",21
608 Properties,3bd/2ba,3,2,228 Main St La Crosse WI,228 Main St-RENTED La Crosse WI,"$1,500 ",1500,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Disposal",24
Wedgewood Commons,1bd/1ba,1,1,1935 Miller St La Crosse WI,1935 Miller St La Crosse WI,$825 ,825,TRUE,FALSE,"Trash, Refrigerator, Range/Oven, Heat, Electric, Water, Hot Water",34
Wedgewood Commons,1bd/1ba,1,1,1935 Miller St La Crosse WI,1935 Miller St La Crosse WI,$945 ,945,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",34
Wedgewood Commons,3bd/1ba,3,1,1935 Miller St La Crosse WI,1935 Miller St La Crosse WI,"$1,190 ",1190,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Heat, Electric, Water, Hot Water, Dishwasher, Microwave",34
Wedgewood Commons,2bd/2ba,2,2,1935 Miller St La Crosse WI,1935 Miller St La Crosse WI,"$1,295 ",1295,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Heat, Electric, Water, Hot Water, Dishwasher, Microwave",34
Wedgewood Commons,3bd/2ba,3,2,1935 Miller St La Crosse WI,1935 Miller St La Crosse WI,"$1,295 ",1295,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Heat, Electric, Water, Hot Water, Dishwasher, Microwave",34
Wedgewood Commons,1bd/1ba,1,1,1935 Miller St La Crosse WI,1935 Miller St La Crosse WI,$685 ,685,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Heat, Electric, Water, Hot Water, Dishwasher, Microwave",34
Wedgewood Commons,2bd/1ba,2,1,1935 Miller St La Crosse WI,1935 Miller St La Crosse WI,"$1,115 ",1115,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Heat, Electric, Water, Hot Water, Dishwasher, Microwave",34
JCR Properties,3bd/1ba,3,1,918 Grove St La Crosse WI,918 Grove St La Crosse WI,"$1,500 ",1500,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",28
Off-Campus La Crosse LLC,9bd/3.5ba,9,3.5,1315 State St La Crosse WI,1315 State St La Crosse WI,"$5,500 ",5500,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",4
Wrobel Rentals,2bd/1ba,2,1,1008 13th St South La Crosse WI,1008 13th St South La Crosse WI,$850 ,850,TRUE,TRUE,"Water, Trash, Refrigerator, Range/Oven, Dishwasher",29
Alkar Apartments,5bd/1ba,5,1,311 14th St North La Crosse WI,311 14th St North La Crosse WI,"$2,175 ",2175,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Mowing",35
G&N Properties,2bd/1ba,2,1,616 Kane St La Crosse WI,616 Kane St La Crosse WI,$850 ,850,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Disposal",33
JCR Properties,2bd/1ba,2,1,523 Wilson St Onalaska WI,523 Wilson St Onalaska WI,"$1,200 ",1200,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",28
Legends Living,2bd/1ba,2,1,923 Johnson St-SOLD La Crosse WI,923 Johnson St-SOLD La Crosse WI,$900 ,900,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",27
Legends Living,3bd/1ba,3,1,921 Johnson St-SOLD La Crosse WI,921 Johnson St-SOLD La Crosse WI,"$1,350 ",1350,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",27
Off-Campus La Crosse LLC,4bd/2ba,4,2,318 21st St North La Crosse WI,318 21st St North La Crosse WI,"$2,000 ",2000,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",4
Off-Campus La Crosse LLC,4bd/2ba,4,2,119 22nd St North La Crosse WI,119 22nd St North La Crosse WI,"$2,400 ",2400,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",4
Off-Campus La Crosse LLC,4bd/2ba,4,2,425 12th St North La Crosse WI,425 12th St North La Crosse WI,"$2,260 ",2260,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",4
Off-Campus La Crosse LLC,2bd/1ba,2,1,1408 Vine St La Crosse WI,1408 Vine St La Crosse WI,"$1,100 ",1100,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",4
Benson Properties,1bd/1ba,1,1,1125 Pine St La Crosse WI,1125 Pine St La Crosse WI,$995 ,995,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave, Disposal",25
Benson Properties,2bd/1ba,2,1,1125 Pine St La Crosse WI,1125 Pine St La Crosse WI,"$1,350 ",1350,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave, Disposal",25
Benson Properties,3bd/1ba,3,1,1125 Pine St La Crosse WI,1125 Pine St La Crosse WI,"$1,785 ",1785,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave, Disposal",25
Benson Properties,4bd/2ba,4,2,1018 Badger St La Crosse WI,1018 Badger St La Crosse WI,"$2,560 ",2560,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Disposal",25
Dillaber Properties,4bd/1ba,4,1,521 10th St North La Crosse WI,521 10th St North La Crosse WI,"$1,380 ",1380,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",11
Dillaber Properties,2bd/1ba,2,1,1320 Vine St La Crosse WI,1320 Vine St La Crosse WI,"$1,100 ",1100,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",11
EKIM Properties,2bd/1ba,2,1,114 9th St North La Crosse WI,114 9th St North La Crosse WI,"$1,050 ",1050,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",3
MackHighland Properties,5bd/2ba,5,2,2108 Pine St La Crosse WI,2108 Pine St La Crosse WI,"$2,400 ",2400,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",36
Off-Campus La Crosse LLC,5bd/2ba,5,2,917 Badger St La Crosse WI,917 Badger St La Crosse WI,"$3,900 ",3900,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Microwave",4
B.Sawyer Properties,6bd/2ba,6,2,1027 Grove St La Crosse WI,1027 Grove St La Crosse WI,"$3,030 ",3030,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",6
McKeogh Properties,4bd/2ba,4,2,1242 La Crosse St La Crosse WI,1242 La Crosse St La Crosse WI,"$1,800 ",1800,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",37
Wise Properties,1bd/1ba,1,1,525 9th St South La Crescent MN,525 9th St South La Crescent MN,$530 ,530,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",15
Off-Campus La Crosse LLC,4bd/1ba,4,1,915 8th St South La Crosse WI,915 8th St South La Crosse WI,"$1,750 ",1750,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",4
JTH Homes,5bd/3ba,5,3,1207 Ferry St La Crosse WI,1207 Ferry St-RENTED La Crosse WI,"$2,500 ",2500,TRUE,TRUE,"Trash, Refrigerator, Range/Oven, Disposal, Dishwasher",38
Buchner Properties,5bd/2.5ba,5,2.5,1923 State St La Crosse WI,1923 State St La Crosse WI,"$3,000 ",3000,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",39
Pedace Properties,1bd/1ba,1,1,307 23rd St South La Crosse WI,307 23rd St South La Crosse WI,$900 ,900,TRUE,FALSE,"Heat, Gas, Electricity, Water",40
Pedace Properties,1bd/1ba,1,1,311 23rd St South La Crosse WI,311 23rd St South La Crosse WI,$800 ,800,TRUE,FALSE,"Heat, Gas, Electricity, Water",40
Buchner Properties,4bd/2ba,4,2,2015 Vine St La Crosse WI,2015 Vine St La Crosse WI,"$2,000 ",2000,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven",39
Favre Retnals,3bd/2ba,3,2,1747 King St La Crosse WI,1747 King St La Crosse WI,"$1,600 ",1600,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",16
Pedace Properties,2bd/1ba,2,1,229 22nd St South La Crosse WI,229 22nd St South La Crosse WI,"$1,200 ",1200,TRUE,TRUE,"Heat, Trash, Refrigerator, Range/Oven, Dishwasher",40
Coleman Properties,3bd/2ba,3,2,1903 State St La Crosse WI,1903 State St La Crosse WI,"$1,350 ",1350,FALSE,TRUE,"Trash, Refrigerator, Stove/Oven",41
Wise Properties,3bd/1ba,3,1,107 14th St North La Crosse WI,107 14th St North La Crosse WI,"$1,470 ",1470,TRUE,TRUE,"Heat, Electric, Hot Water, Trash, Refrigerator, Range/Oven",15
Coleman Properties,4bd/1ba,4,1,1911 State St La Crosse WI,1911 State St La Crosse WI,"$1,750 ",1750,FALSE,TRUE,"Trash, Refrigerator, Stove/Oven",41
Coleman Properties,3bd/1ba,3,1,1929 Main St La Crosse WI,1929 Main St La Crosse WI,"$1,350 ",1350,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven",41
Coleman Properties,5bd/1.5ba,5,1.5,1931 Main St La Crosse WI,1931 Main St La Crosse WI,"$2,000 ",2000,FALSE,TRUE,"Trash, Refrigerator, Stove/Oven",41
Benson Properties,4bd/1ba,4,1,1113 Pine St La Crosse WI,1113 Pine St La Crosse WI,"$2,300 ",2300,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",25
AptsLax LLC,3bd/1ba,3,1,2105 La Crosse St La Crosse WI,2105 La Crosse St La Crosse WI,"$1,380 ",1380,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven",14
Three Sixty,2bd/1ba,2,1,720 Oakland St La Crosse WI,720 Oakland St La Crosse WI,$960 ,960,TRUE,FALSE,"Trash, Refrigerator, Stove/Oven, Dishwasher",2
JTH Homes,4bd/2ba,4,2,1209 Ferry St La Crosse WI,1209 Ferry St-RENTED La Crosse WI,"$2,200 ",2200,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",38
G&N Properties,4bd/1ba,4,1,212 14th St North La Crosse WI,212 14th St North La Crosse WI,"$1,860 ",1860,TRUE,FALSE,"Trash, Refrigerator, Stove/Oven",33
Resurrection Rentals,5bd/2ba,5,2,212 11th St North La Crosse WI,212 11th St North La Crosse WI,"$3,000 ",3000,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",23
Wise Properties,2bd/1ba,2,1,609 East Ave South La Crosse WI,609 East Ave South La Crosse WI,$900 ,900,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",15
Munson Realty,1bd/1ba,1,1,1333 Main St La Crosse WI,1333 Main St La Crosse WI,$675 ,675,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,1bd/1ba,1,1,218 West Ave South La Crosse WI,218 West Ave South La Crosse WI,$650 ,650,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,1bd/1ba,1,1,218 West Ave South La Crosse WI,218 West Ave South La Crosse WI,$750 ,750,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,2bd/1ba,2,1,1009 State St La Crosse WI,1009 State St La Crosse WI,"$1,200 ",1200,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,2bd/1ba,2,1,1019 State St La Crosse WI,1019 State St La Crosse WI,$950 ,950,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,1bd/1ba,1,1,1333 Main St La Crosse WI,1333 Main St La Crosse WI,$825 ,825,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,2bd/1ba,2,1,1333 Main St La Crosse WI,1333 Main St La Crosse WI,"$1,195 ",1195,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,3bd/1ba,3,1,1222 State St La Crosse WI,1222 State St-RENTED La Crosse WI,"$1,495 ",1495,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,3bd/1ba,3,1,1224 State St La Crosse WI,1224 State St-RENTED La Crosse WI,"$1,485 ",1485,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,3bd/1ba,3,1,1019 State St La Crosse WI,1019 State St La Crosse WI,"$1,300 ",1300,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,4bd/2ba,4,2,214 West Ave South La Crosse WI,214 West Ave South La Crosse WI,"$2,200 ",2200,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",42
Munson Realty,2bd/1ba,2,1,1013 State St La Crosse WI,1013 State St La Crosse WI,$950 ,950,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",42
Off-Campus La Crosse LLC,3bd/1ba,3,1,623 7th St South La Crosse WI,623 7th St South La Crosse WI,"$1,400 ",1400,TRUE,TRUE,"Trash, Refrigerator, Stove/Oven",4
JAMAR Properties,2bd/2ba,2,2,212 West Ave North La Crosse WI,212 West Ave North La Crosse WI,"$1,150 ",1150,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven",20
JAMAR Properties,4bd/1ba,4,1,208 West Ave North La Crosse WI,208 West Ave North La Crosse WI,"$2,300 ",2300,TRUE,FALSE,"Trash, Refrigerator, Stove/Oven",20
Weis Rentals,5bd/2ba,5,2,741 23rd St North La Crosse WI,741 23rd St North La Crosse WI,"$2,500 ",2500,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher",43
Off-Campus La Crosse LLC,5bd/3ba,5,3,322 21st St North La Crosse WI,322 21st St North La Crosse WI,"$3,554 ",3554,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",4
Wise Properties,3bd/1ba,3,1,111 14th St N La Crosse WI,111 14th St N-RENTED La Crosse WI,"$1,470 ",1470,TRUE,FALSE,"Heat, Electric, Hot Water, Trash, Refrigerator, Range/Oven",15
Gander Rentals,3bd/1ba,3,1,1435 State St La Crosse WI,1435 State St La Crosse WI,"$1,620 ",1620,TRUE,TRUE,"Trash, Refrigerator, Stove/Oven, Microwave, Disposal, and Dishwasher",17
Gander Rentals,4bd/1ba,4,1,1437 State St La Crosse WI,1437 State St La Crosse WI,"$2,080 ",2080,FALSE,TRUE,"Trash, Refrigerator, Stove/Oven, Microwave, Disposal, and Dishwasher",17
MAT Properties,6bd/2ba,6,2,774 22nd St N La Crosse WI,774 22nd St N-RENTED La Crosse WI,"$2,760 ",2760,FALSE,TRUE,"Trash, Refrigerator, Stove/Oven, Dishwasher",44
MackHighland Properties,4bd/2ba,4,2,2201 La Crosse St La Crosse WI,2201 La Crosse St La Crosse WI,"$1,800 ",1800,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Microwave, Dishwasher",36
Coleman Properties,2bd/2ba,2,2,1440 Sunset Ct La Crosse WI,1440 Sunset Ct La Crosse WI,"$1,250 ",1250,FALSE,TRUE,"Trash, Refrigerator, Stove/Oven, Dishwasher, Microwave",41
Coleman Properties,1bd/1ba,1,1,544 2nd Ave North Onalaska WI,544 2nd Ave North Onalaska WI,$725 ,725,FALSE,TRUE,"Trash, Refrigerator, Stove/Oven",41
Three Sixty,3bd/1ba,3,1,431 West Ave North La Crosse WI,431 West Ave North La Crosse WI,"$1,099 ",1099,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven, Dishwasher",2
Resurrection Rentals,4bd/2ba,4,2,221 13th St North #5 La Crosse WI,221 13th St North #5 La Crosse WI,"$3,000 ",3000,TRUE,FALSE,"Trash, Refrigerator, Stove/Oven",23
HNT Properties,3bd/1ba,3,1,1226 Madison St La Crosse WI,1226 Madison St La Crosse WI,"$1,400 ",1400,FALSE,TRUE,"Trash, Refrigerator, Stove/Oven",45
MackHighland Properties,1bd/1ba,1,1,700 22nd St North La Crosse WI,700 22nd St North La Crosse WI,$850 ,850,FALSE,FALSE,"Trash, Refrigerator, Range/Oven",36
608 Properties,3bd/1ba,3,1,101 West Ave North La Crosse WI,101 West Ave North La Crosse WI,"$1,875 ",1875,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven, Dishwasher, Microwave",24
RK&D Properties,1bd/1ba,1,1,1003 Cameron Ave La Crosse WI,1003 Cameron Ave-RENTED La Crosse WI,$875 ,875,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",21
Casey Properties,4bd/1ba,4,1,209 14th St North La Crosse WI,209 14th St North La Crosse WI,"$1,600 ",1600,FALSE,FALSE,"Water, Trash, Refrigerator, Range/Oven",46
Off-Campus La Crosse LLC,2bd/1ba,2,1,1203 Badger St La Crosse WI,1203 Badger St La Crosse WI,"$1,590 ",1590,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",4
Favre Retnals,5bd/2ba,5,2,"1801 Cameron Ave, Down, La Crosse WI","1801 Cameron Ave, Down, La Crosse WI","$2,500 ",2500,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",16
Favre Retnals,2bd/1ba,2,1,1803 Cameron Ave Up La Crosse WI,1803 Cameron Ave Up La Crosse WI,"$1,200 ",1200,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",16
Three Sixty,2bd/1ba,2,1,2012 Campbell Rd La Crosse WI,2012 Campbell Rd La Crosse WI,"$1,695 ",1695,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven, Dishwasher, Microwave",2
Three Sixty,2bd/2ba,2,2,1231 Hagar St La Crosse WI,1231 Hagar St La Crosse WI,"$1,615 ",1615,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven, Dishwasher, Microwave",2
G&N Properties,1bd/1ba,1,1,622 Kane St La Crosse WI,622 Kane St La Crosse WI,$700 ,700,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",33
Gander Rentals,6bd/2ba,6,2,219 15th St North La Crosse WI,219 15th St North La Crosse WI,"$3,000 ",3000,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",17
Karbin Properties,3bd/1ba,3,1,107 9th St South La Crosse WI,107 9th St South La Crosse WI,"$1,500 ",1500,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",30
Resurrection Rentals,4bd/2ba,4,2,"221 13th St North #3 La Crosse, WI","221 13th St North #3 La Crosse, WI","$2,400 ",2400,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",23
Resurrection Rentals,5bd/2ba,5,2,221 13th St North #2 La Crosse WI,221 13th St North #2 La Crosse WI,"$3,000 ",3000,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",23
Miller Properties,4bd/2ba,4,2,1325 State St La Crosse WI,1325 State St La Crosse WI,"$2,520 ",2520,TRUE,TRUE,"Trash, Refrigerator, Range/Oven",1
608 Properties,4bd/1ba,4,1,227 14th St North La Crosse WI,227 14th St North La Crosse WI,"$2,000 ",2000,TRUE,TRUE,"Trash, Range/Oven, Refrigerator",24
JCR Properties,2bd/1ba,2,1,717 10th St North La Crosse WI,717 10th St North La Crosse WI,"$1,200 ",1200,TRUE,TRUE,"Trash, Refrigerator, Stove/Oven",28
Legends Living,2bd/1ba,2,1,927 Division St La Crosse WI,927 Division St La Crosse WI,"$1,200 ",1200,TRUE,FALSE,"Trash, Refrigerator, Stove/Oven",27
608 Properties,3bd/1ba,3,1,125 19th St North La Crosse WI,125 19th St North La Crosse WI,"$1,650 ",1650,TRUE,TRUE,"Trash, Refrigerator, Stove/Oven, Dishwasher",24
Miller Properties,4bd/1ba,4,1,221 West Ave North La Crosse WI,221 West Ave North La Crosse WI,"$1,980 ",1980,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven, Dishwasher",1
Miller Properties,5bd/1ba,5,1,223 West Ave North La Crosse WI,223 West Ave North La Crosse WI,"$2,475 ",2475,FALSE,TRUE,"Trash, Refrigerator, Stove/Oven, Dishwasher",1
Benson Properties,1bd/1ba,1,1,334 West Ave North La Crosse WI,334 West Ave North La Crosse WI,$920 ,920,FALSE,FALSE,"Trash, Refrigerator, Stove/Oven",25
Wise Properties,2bd/1ba,2,1,1425 State St La Crosse WI,1425 State St La Crosse WI,$850 ,850,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",15
AptsLax LLC,3bd/1ba,3,1,2103 La Crosse St La Crosse WI,2103 La Crosse St-RENTED La Crosse WI,"$1,350 ",1350,FALSE,TRUE,"Trash, Refrigerator, Range/Oven",14
